label,in_degree,out_degree,total_degree,pagerank,betweenness,clustering
긍정,97,98,195,0.18023313732846874,0.0,0.07453903172671915
동정,466,466,932,0.6233344940317449,0.0,0.07453903172671915
부정,105,104,209,0.19643236863978647,0.0,0.07453903172671915
